1,Bro you are my inspiration  so true!,0
2, This video is just a little too perfect. It’s almost as if Bhakts are now doing idiotic things on purpose to provide material for such videos ,1
3,"people from all income group that includes Ratan Tata to Mukesh Ambani to middle class to homeless to sports personality all lit candles to show the unity, so for these are also bhakts. Sir if u really want to then condemn those who are spreading the virus, but the so called secularist like will never do that. As u secularist think that u r a different league if u will question anything n everything that PM says.",0
4,"he just said for those who came outside and started marching, infact were asked to light diyas or candles or flashlight staying at home only, which everyone did you mentioned and many other indian citizens, rest were rallying outside so vo pagal hi nazar aate hai.",0
5,I think you r also bhakt,0
6,Brother ji,0
7,What is the comment in this video?,0
8,,0
9,Only some people's sins are seen.,1
10,Which people did even after our pm's mind.,0
11,when a comedian learns video editing awesome things happen,0
12,When a video editor learns komedy ,0
13,This is NO COMEDY!,0
14,Why the hell first 2 second of this clip was a virtual delight of Randeep Hoda appearance in disguise of Munivar .,1
15,We should apologize to EVM ,0
16,And now they will be all TRIGGERED !,0
17,The people becomes zero who introduces zero to the world.,0
18,,0
19,"Modi Govt wanted to show a govt school in Delhi to Mrs. Trump, why not in one of the states under BJP?",0
20,,0
21,Hundreds of thousands of people were walking all the way from Delhi to UP while their leaders watching Ramayana.,0
22,,0
23,"15 years chief minister of Gujarat, 7 years Prime Minister of India wanted to build a wall to hide poverty.",1
24,,0
25,It’s all on international media. What a shame ,1
26,Criticism is very important but till date whoever didn't criticize Kamra can be called as the people with brain.,1
27,This video is precious.. Can anyone send me this video on what's app?,0
28,Gyaan for religiously guided human reproducers (parents) about why Demonetisation was ESSENTIAL,1
29,Bakht can only be seen mad.,1
30,"Actually it's a fact ,bhakti is different than logic ,two cnt go hand in hand",0
31,Suppose tomorrow Modiji asks to shower 500-500 notes from your balcony,1
32,Sir r u great,0
33,,0
34,It is better to walk alone in the right direction than to be a part of the crowd growing in the wrong direction,0
35,,0
36,~ Tathagat Buddha,0
37,"It is better for fight against corona epidemic if this ignorant , inefficient modi keeps his mouth shut down at least for remaining lockdown days.",1
38,Title song of Serial Ramayana in the background..,0
39, "Roasted" In "Peice",1
40,(RIP),1
41,Corona ,0
42,How man...... You come up with exact videos,0
43,I am a devotee. Is there but these people have not let any shortage in entertainment ,0
44,"It's easy to make people fool, but it's very difficult to make them understand about it.. unity ke nam pr politics nothing else.. fool bhakt",1
45,Next week ki stupidity will be jumping from balcony at 5 pm .people until 3rd floor will hv to jump twice and from 4th floor once  ....content mil raha hai,1
46,"Problem Modiji is not there, ",0
47,The problem is educated people.,1
48,Those who come in the words of illiterate. ,1
49,You are great brother!!! I wish we had a little intelligence.. so they would not have become such devotees today...,1
50,Why all these people who broke the law are not charged under terrorism act (NSA)? For “Causing harm to fellow humans in malicious manner”. Why is Amit Shah sleeping? Why is media sleeping?,1
51,Very bad govt,1
52,What if we do? Will you say?,0
53,Wow modi ji wow! Wow! stupid asshole,1
54,No wonder why Modi is our PM.,1
55,Devotees are mad in free and easy work............ everyone will come back in difficult work.,1
56,Allah (SWT) gives the political victory to Modi. Any doubts?,0
57,yes in every century there come a villain like modi,1
58,what you say we don't believe,0
59," Anwarul Haque is absolutely true difficult work, the people of the group were doing search on the end of Corona.. who didn't like this cow and separated everyone",0
60,"spot on for the blind devotees, we love our honest Prime Minister, but don't take it on your heart, everyone has their own actions, if you want to do it, it's free ",0
61,"After seeing tomorrow's Diwali, I can say that no one will be able to defeat modi ji..",0
62,Modi has done bigger damage than Tabligh. More cases of Covid 19 will emerge due to stupid socializing,1
63,Any evidence of that or just assumption ?,0
64,Modi Ji has received the highest civilian award from Russia,0
65,Sujoy Banik I getting ur poin,0
66,"Modi Ji can lockdown a nation of 1,300,000,000 humans, if he so wills and he did it recently.",0
67,"Half of those people clap, ring bells, bang metallic plates and light candles while in lockdown if he asks them to do so.",0
68," Rajat Rana Yes intelligent people would also happily stand in queue for hours when the mother of all scams like Demonetisation, PMB, PNB, YES BANK scams come out, people are happy to sacrifice their everything for the Supreme leader nah!",0
69,"Tanzim Fahad U didn't get my point, I meant that socializing during last night's Corona festival will lead to more transmission of the disease among Bhakts /morons irrespective of their caste and creed. The whole point of Lock down and Quarantine will be greatly diluted by yesterday's irresponsible behaviour",1
70, ,0
71,Sujoy Banik Rajat Rana What makes you think that Indians wouldn't have obeyed a lock down in such crisis if Vajpayeeji or Manmohanji were at the helm of this country.,0
72, ,0
73,"Bhakts Rights Now, "" anti national Ramayan""",1
74,"Aniruddha Biswas brother, this was the best comment. Salute to you 21 di ",0
75,please convert your hand to brother... you will get heaven ,0
76,"If you would have done Aman Jha, but after that, there would have been so jealous that global gaming would have been so jealous. I am a nature lover brother.",1
77,"don't do it, it is better, we don't consider them as a part of society.... at least Islam. These will be exposed after getting a dress... right now they are Islamic words of wearing a dress.",1
78,we are like this. Please don't take fun of me. I am tired of doing a lot.,0
79,"nd ask you, brother, this can marry your sister... just then you have to enjoy... then you have more fun ",1
80,are bro I 'm serious...,0
81,ok bro congratulations with ur seriousness,0
82,Jamati spotted here,1
83,"Corona, we are ashamed, your murderer is alive ",1
84,"Do comedy, do the same... only airlines have made it. It should not happen after some time, your show will also become....# chamchacomedian",1
85,"Brother, you said it right, there is no shortage of India content.",0
86,There is hard work outside for stand-up.,0
87,"kunal bhai,",0
88,we are against bjp not Hinduism so please do not link our humor to any religion..,0
89,baki narendra is asshole 100%,1
90,They have been shameless everywhere.,1
91,Modiji's words are like alcohol of alcohol.,1
92,People drink it but not everyone can digest it.,1
93,Some people drink too much and then make noise.,1
94,"People can hide their degrees, not stupidity.",1
95,"Oh brother, still some people are saying that this is fake news ",0
